group,seed,lam,inj,step,runtime,lset_var,lset_mean,p_std,ep_return,win_rate,aw_diff,aw_pvl,aw_cenie,gen_inj,n_incomp,runid
s4-base,0,,false,750,1089,0.0007409180398099124,0.22155830264091492,0.4577025771141052,1.763958215713501,0.7711688876152039,,,,,,run-20260622_040022-dhsvjxng
s4-base,1,,false,750,1718,0.00066380575299263,0.22565089166164398,0.45743441581726074,1.4778203964233398,0.6066667437553406,,,,,,run-20260622_041907-xa784vgc
s4-base,2,,false,750,1760,0.0010508432751521468,0.213784858584404,0.4528360068798065,1.0382429361343384,0.8100000619888306,,,,,,run-20260622_044017-ew38r62t
s4-base,3,,false,750,1726,0.0018639586633071303,0.21069617569446564,0.4601254165172577,1.3916313648223877,0.8199999928474426,,,,,,run-20260622_044810-4jmoz3qd
s4-base,4,,false,750,1724,0.0025563084054738283,0.17612481117248535,0.4506170153617859,2.084796905517578,0.6000000238418579,,,,,,run-20260622_051016-pmbkce2q
s4-base,5,,false,750,1745,0.0022294106893241405,0.20412114262580872,0.4529635012149811,1.6888165473937988,0.6700000166893005,,,,,,run-20260622_051727-haobis4v
s4-base,6,,false,750,1732,0.0013309011701494455,0.21749132871627808,0.45366787910461426,1.1906781196594238,0.64000004529953,,,,,,run-20260622_053926-abve58f0
s4-lambda-1_0,0,1.0,true,750,1673,0.2886398434638977,0.801102340221405,,-0.9899064302444458,0.4000000059604645,0.07388177514076233,0.2796444594860077,0.64647376537323,48,0,run-20260622_205215-bjegavla
s4-lambda-1_0,1,1.0,true,750,1768,0.24621805548667908,0.672404408454895,,-0.44202467799186707,0.25999999046325684,0.07242889702320099,0.37636902928352356,0.551202118396759,48,0,run-20260622_230728-y6f38ir7
s4-lambda-1_0,2,1.0,true,750,1070,0.20611076056957245,0.8112522959709167,,-1.107679009437561,0.5318182110786438,0.11591208726167679,0.3830791413784027,0.5010086894035339,48,0,run-20260622_233728-1zjvbyuw
s4-lambda-1_0,3,1.0,true,750,1659,0.3043467402458191,0.787447452545166,,-1.06606924533844,0.4000000059604645,0.15260747075080872,0.32143762707710266,0.5259549021720886,48,0,run-20260622_235550-u4ohiu26
s4-lambda-1_0,4,1.0,true,750,1038,0.35892748832702637,0.430171936750412,,0.6034060716629028,0.20000000298023224,0.07449878752231598,0.2995133697986603,0.6259878277778625,48,31,run-20260623_133952-cxcj68i8
s4-lambda-1_0,5,1.0,true,750,992,0.3838519752025604,0.8182787895202637,,-0.04081881418824196,0.6060606241226196,0.06954536586999893,0.31480318307876587,0.6156514883041382,48,0,run-20260623_135523-jhmaj824
s4-lambda-1_0,6,1.0,true,750,1036,0.19175535440444946,0.9368081092834473,,-0.8073713779449463,0.4642857015132904,0.10568565130233765,0.3494139015674591,0.5449005365371704,48,0,run-20260623_135737-59tdudfy
s4-lambda-5_0,0,5.0,true,750,1652,0.34297317266464233,0.6525046229362488,,0.4447266161441803,0.2545454502105713,0.2759925425052643,0.3346099257469177,0.3893975615501404,48,0,run-20260623_002403-3b32ie4s
s4-lambda-5_0,1,5.0,true,750,1679,0.2992139458656311,0.5692001581192017,,0.19727164506912231,0.20000000298023224,0.28875237703323364,0.3401262164115906,0.37112143635749817,48,0,run-20260623_005226-rn1trip1
s4-lambda-5_0,2,5.0,true,750,1677,0.16318103671073914,0.6965414881706238,,-0.17031677067279816,0.5279352068901062,0.2522668242454529,0.3549656569957733,0.3927675783634186,48,0,run-20260623_012056-6qp6ggus
s4-lambda-5_0,3,5.0,true,750,1674,0.12933498620986938,0.5693719387054443,,0.5112940073013306,0.35999998450279236,0.2572227120399475,0.3551255464553833,0.38765180110931396,48,0,run-20260623_014929-8m5wlog4
s4-lambda-5_0,4,5.0,true,750,1036,0.13280798494815826,0.4055376648902893,,0.6319767832756042,0.20000000298023224,0.2579817771911621,0.35384392738342285,0.3881743550300598,48,29,run-20260623_141532-plg500ia
s4-lambda-5_0,5,5.0,true,750,1669,0.14365139603614807,0.557165801525116,,0.11708932369947433,0.20000000298023224,0.25742238759994507,0.35295435786247253,0.3896232843399048,48,0,run-20260623_120732-4mhh3os7
s4-lambda-5_0,6,5.0,true,750,1690,0.24847710132598877,0.6380457878112793,,0.2191590964794159,0.39454546570777893,0.2827790379524231,0.34906327724456787,0.36815765500068665,48,0,run-20260623_120731-gt2r5139
s4-lambda-inf,0,inf,true,750,1690,0.5282022953033447,1.5652782917022705,,-1.5995570421218872,0.4519480764865875,0,0,1,48,0,run-20260622_205930-poe027sz
s4-lambda-inf,1,inf,true,750,1661,0.404593288898468,1.4793652296066284,,-0.4630313813686371,0.20000000298023224,0,0,1,48,0,run-20260622_212039-xk7molxn
s4-lambda-inf,2,inf,true,750,1686,0.38335704803466797,1.5448331832885742,,-2.1237616539001465,0.5180451273918152,0,0,1,48,0,run-20260622_212812-6pl8gbk0
s4-lambda-inf,3,inf,true,750,1055,0.5808143019676208,1.5254725217819214,,-1.6408121585845947,0.5652174353599548,0,0,1,48,0,run-20260622_214852-nrjhv6mc
s4-lambda-inf,4,inf,true,750,994,0.5308169722557068,0.7974004149436951,,-0.7727630138397217,0.25999999046325684,0,0,1,48,29,run-20260623_141223-gw6gfrnl
s4-lambda-inf,5,inf,true,750,1769,0.6833318471908569,1.472609043121338,,-1.4585356712341309,0.20000000298023224,0,0,1,48,0,run-20260622_220708-0q9kchyu
s4-lambda-inf,6,inf,true,750,1771,0.23329436779022217,1.528968095779419,,-2.089085102081299,0.20000000298023224,0,0,1,48,0,run-20260622_223707-oedya8xr
s4-lambda-none,0,none,true,750,1668,1818.026611328125,198.7413330078125,,0.9297283887863159,0.34545454382896423,,,,48,0,run-20260623_123546-1j2we6h9
s4-lambda-none,1,none,true,750,1688,973.7396240234375,175.04443359375,,0.8639525771141052,0.4000000059604645,,,,48,0,run-20260623_123608-r2esgi74
s4-lambda-none,2,none,true,750,1001,709.25634765625,172.40231323242188,,-0.6483458876609802,0.20000000298023224,,,,48,0,run-20260623_130401-rjqoxiqg
s4-lambda-none,3,none,true,750,999,1130.8909912109375,167.39089965820312,,0.25380051136016846,0.4000000059604645,,,,48,0,run-20260623_130500-6vykkeky
s4-lambda-none,4,none,true,750,990,1175.3260498046875,170.6335906982422,,0.8896545767784119,0.5199999809265137,,,,48,33,run-20260623_132105-rg54rh29
s4-lambda-none,5,none,true,750,1039,1087.3837890625,198.13145446777344,,0.2545088529586792,0.3244558274745941,,,,48,0,run-20260623_132205-6wxbc03v
s4-lambda-none,6,none,true,750,989,740.8639526367188,173.0393524169922,,1.2979671955108643,0.3285714387893677,,,,48,0,run-20260623_133809-kf88jiug
