group,step,var_mean,win_singleton_mean,win_sampled_mean
s4-base,50,0.00037319788576236794,0.0010204082354903221,0.023117859980889728
s4-base,100,0,0.11000000445970468,0.5253932135445731
s4-base,150,0,0.1964316644838878,0.7155901193618774
s4-base,200,0,0.1916181743144989,0.8000737258366176
s4-base,250,0,0.24012106231280736,0.8404631444386074
s4-base,300,1.011708165573769e-05,0.2362924133028303,0.8671048283576965
s4-base,350,1.2241587829261594e-05,0.34187290923936026,0.8924919281687055
s4-base,400,6.090330082640451e-05,0.5222280025482178,0.9166861772537231
s4-base,450,0.0001346700467235808,0.5729166184152875,0.9358543753623962
s4-base,500,0.0002081501068979768,0.6070447053228106,0.9425515532493591
s4-base,550,0.00026601794005338367,0.6231502039091927,0.9488668356622968
s4-base,600,0.0003623974646740992,0.6688412768500192,0.9563003097261701
s4-base,650,0.0007427785291968446,0.6623983298029218,0.9620053768157959
s4-base,700,0.001108691782324708,0.6914752125740051,0.964999122279031
s4-base,750,0.001490877999458462,0.7025479674339294,0.9683802042688642
s4-lambda-5_0,50,0.7717097401618958,0.0021121352245765074,0.025217016892773763
s4-lambda-5_0,100,0.4084999752896173,0.005714286118745804,0.23598680325916835
s4-lambda-5_0,150,0.25663494638034273,0.11039907804557256,0.553477440561567
s4-lambda-5_0,200,0.2346480286547116,0.19034014216491155,0.7141828281538827
s4-lambda-5_0,250,0.25785142183303833,0.19233074358531407,0.7546809656279427
s4-lambda-5_0,300,0.25822059916598455,0.1990395528929574,0.7785072582108634
s4-lambda-5_0,350,0.3224314706666129,0.1991596668958664,0.8086027503013611
s4-lambda-5_0,400,0.31617348534720285,0.19668737479618617,0.8267181175095695
s4-lambda-5_0,450,0.1727167953337942,0.1787755143429552,0.8231982163020543
s4-lambda-5_0,500,0.24063737051827566,0.20000000298023224,0.8415062512670245
s4-lambda-5_0,550,0.25281302843775066,0.20285714737006597,0.8518474527767727
s4-lambda-5_0,600,0.23272500719342912,0.21918368126664842,0.8591024109295436
s4-lambda-5_0,650,0.2468253629548209,0.2654945062739508,0.8641672815595355
s4-lambda-5_0,700,0.22324578996215547,0.24857142993382045,0.872090756893158
s4-lambda-5_0,750,0.20851994625159673,0.3052894451788494,0.8825671076774597
s4-lambda-1_0,50,1.6252871240888322,0.0021121352245765074,0.025217016892773763
s4-lambda-1_0,100,0.2028868113245283,0.011428572237491608,0.23056401099477494
s4-lambda-1_0,150,0.1432302998644965,0.07766234023230416,0.5248060269015176
s4-lambda-1_0,200,0.15352559302534377,0.1913942119904927,0.7222615565572467
s4-lambda-1_0,250,0.1930503589766366,0.19512669103486197,0.7581350718225751
s4-lambda-1_0,300,0.23156976061207907,0.19644618034362793,0.7864994662148612
s4-lambda-1_0,350,0.24540175923279353,0.2030120917728969,0.8142997196742466
s4-lambda-1_0,400,0.1790064743586949,0.22022542996065958,0.8317417587552752
s4-lambda-1_0,450,0.24947579843657358,0.25508429961545126,0.8389098048210144
s4-lambda-1_0,500,0.25638460900102344,0.2528398877808026,0.8438723087310791
s4-lambda-1_0,550,0.26216759639126913,0.2592207853283201,0.8505934987749372
s4-lambda-1_0,600,0.2648364177771977,0.3047040488038744,0.86612583058221
s4-lambda-1_0,650,0.27667511786733356,0.3142238791499819,0.8682687708309719
s4-lambda-1_0,700,0.24165785312652588,0.332857146859169,0.8716940454074315
s4-lambda-1_0,750,0.28283574538571493,0.40888064886842457,0.8854315110615322
s4-lambda-inf,50,3.5791787079402377,0.0021121352245765074,0.025217016892773763
s4-lambda-inf,100,0.8998590707778931,0.005714286118745804,0.23278815192835672
s4-lambda-inf,150,0.39953925141266416,0.07142857355730874,0.5414864846638271
s4-lambda-inf,200,0.4298881994826453,0.19223058010850633,0.7121054870741708
s4-lambda-inf,250,0.5726982567991529,0.19534265569278172,0.7636764645576477
s4-lambda-inf,300,0.5935730167797634,0.195664467556136,0.7948187504495893
s4-lambda-inf,350,0.4801360070705414,0.1991836769240243,0.8127857446670532
s4-lambda-inf,400,0.40182435512542725,0.1987013007913317,0.8248740434646606
s4-lambda-inf,450,0.3927245480673654,0.20202254610402243,0.8314949444362095
s4-lambda-inf,500,0.38774364973817554,0.19795918890408107,0.8348219479833331
s4-lambda-inf,550,0.422538765839168,0.20530612766742706,0.8514677030699593
s4-lambda-inf,600,0.4859267494508198,0.19959184101649693,0.8587294391223362
s4-lambda-inf,650,0.48030892440250944,0.22150580159255437,0.860523019518171
s4-lambda-inf,700,0.3859054275921413,0.30986395478248596,0.8704437443188259
s4-lambda-inf,750,0.47777287449155537,0.34217294837747303,0.8758637990270343
s4-lambda-none,50,0.6269012604440961,0.0021121352245765074,0.025217016892773763
s4-lambda-none,100,2.0460821901048933,0,0.20282197637217386
s4-lambda-none,150,19.75472206728799,0.07428571635058948,0.5795223500047412
s4-lambda-none,200,261.24741853986467,0.17714286063398635,0.7038136720657349
s4-lambda-none,250,351.42156982421875,0.19445055510316575,0.7434429270880563
s4-lambda-none,300,414.59829493931363,0.19843832722732,0.7734476583344596
s4-lambda-none,350,356.59222630092074,0.19129518951688493,0.7859773721013751
s4-lambda-none,400,498.77267020089283,0.19734694702284677,0.8022622891834804
s4-lambda-none,450,541.9957362583706,0.19740314143044607,0.8214695027896336
s4-lambda-none,500,753.4154924665179,0.21061224809714726,0.8381545458521161
s4-lambda-none,550,922.4744437081473,0.25250000400202616,0.8509325810841152
s4-lambda-none,600,793.6661551339286,0.24939822937761033,0.8612860866955349
s4-lambda-none,650,940.282697405134,0.22727273404598236,0.8755832059042794
s4-lambda-none,700,925.9883248465402,0.2778151354619435,0.8796760269573757
s4-lambda-none,750,1090.7839093889509,0.3597831151315144,0.8833610500608172
